date,ois_1y,ois_2y,ois_3y,ois_5y,ois_7y,ois_10y,ois_15y,ois_20y,ois_30y
2019-10-01,-0.7516273993740543,-0.7908502089447293,-0.7985191420449644,-0.7477861249998985,-0.6514368339390435,-0.4911456205732021,-0.2753339977503444,-0.1355029946715691,0.0158483345584186
2019-10-02,-0.7573057702292769,-0.7977470724138405,-0.803890651142309,-0.7487159316164074,-0.6496880099745024,-0.4890583508045334,-0.2765546869229509,-0.140103017213822,0.0071133971829355
2019-10-03,-0.7661885066464516,-0.8089466329546409,-0.8217590631917959,-0.7823411465911727,-0.6956644665871208,-0.545025068308433,-0.3362360454503523,-0.1986268034514056,-0.0485143328589794
2019-10-04,-0.7506603534990315,-0.8054539697497898,-0.8225720329601129,-0.7825985332518002,-0.6928353182760505,-0.5395014143504913,-0.3308247839645331,-0.1948021762469982,-0.0470701474827228
2019-10-07,-0.7448506756168385,-0.8026056136446131,-0.8219502970276236,-0.7837556112057849,-0.6930245044532173,-0.5358568620820776,-0.3202470472910939,-0.179165998408828,-0.0257282475956293
2019-10-08,-0.7444293109914968,-0.8153982141973222,-0.8396570376746353,-0.8011785953149437,-0.7070309268968065,-0.5463180468511566,-0.3294245702131571,-0.188908535572531,-0.0366705927862149
2019-10-09,-0.7403232571414189,-0.79568940013993,-0.8133715709504616,-0.7727017717607927,-0.6798206136765774,-0.5196653222910337,-0.3000439991415797,-0.1562465010770199,0.0002210063376082
2019-10-10,-0.703968929665292,-0.7433487035419826,-0.7499441349853533,-0.6965461773746662,-0.5981106054878986,-0.4355530911837086,-0.2166980650609371,-0.0743922613312917,0.0801132666477841
2019-10-11,-0.6956847864987168,-0.7365868934982363,-0.7420147815316782,-0.6825783542572421,-0.5768889365186141,-0.404815146088354,-0.175396969384844,-0.0270093646725837,0.1337593620515429
2019-10-14,-0.6855598210048093,-0.7294032806181376,-0.7371132747446114,-0.6813912848646537,-0.578913577052063,-0.4109760015739629,-0.1866030018396367,-0.0414150044563403,0.1158919088994487
2019-10-15,-0.6799904291488177,-0.7188253751634717,-0.727927165997206,-0.6801581098299612,-0.5841534997473996,-0.4199959140833309,-0.1939754623529128,-0.0454291469821777,0.1164243124134136
2019-10-16,-0.6707864255891582,-0.700096586960687,-0.6979977824735695,-0.6295839213345653,-0.518445807144591,-0.3406904201441074,-0.1049716074243649,0.0473195577050484,0.2122863597766842
2019-10-17,-0.6698857480958442,-0.6954869015318756,-0.6935015136406069,-0.6298076494204299,-0.5243745323308393,-0.3533183535963942,-0.1239038106719845,0.0252184799489081,0.1871118418698325
2019-10-18,-0.6683130002847741,-0.688731026668131,-0.6825401535560109,-0.6131326365373058,-0.504708404450791,-0.3320884254293594,-0.1030053942933628,0.0451597073835401,0.2057125901552663
2019-10-21,-0.6604947916159483,-0.6885392435502777,-0.6813205148900443,-0.601048920979518,-0.48137100862917,-0.2977929654352937,-0.0614982346017516,0.0887650571278479,0.2505627170935354
2019-10-22,-0.6626551839901846,-0.6870855340117163,-0.6807906089609825,-0.6081989153462324,-0.4978451651377282,-0.3260065424401097,-0.1019347203330038,0.0416637043565273,0.1967780722656664
